tsinghua 清华大学
PKU 北京大学
ruc75 中国人民大学
bit1940 北京理工大学
5396134858 北京航空航天大学
minzuuniversity 中央民族大学
lovebnu 北京师范大学
cau1905 中国农业大学
tianjinuniversity 天津大学
nankaiuni 南开大学
ifudan 复旦大学
chiaotunguniv 上海交通大学
tongjiuniversity 同济大学
ecnu 华东师范大学
cqdx 重庆大学
3624694175 四川大学
3982954755 电子科技大学
hunanuniversity 湖南大学
7127745503 国防科技大学
csunews 中南大学
xmunews 厦门大学
ustc 中国科学技术大学
nju1902 南京大学
seunews 东南大学
1920hit 哈尔滨工业大学
1897zju 浙江大学
xjtuofficial 西安交通大学
nwsuaf 西北农林科技大学
npustar 西北工业大学
husters 华中科技大学
wuhandaxue 武汉大学
oucnews 中国海洋大学
1901sdu 山东大学
jlunewsnet 吉林大学
duters 大连理工大学
neu1923 东北大学
scut1117 华南理工大学
1892723783 中山大学
1878134457 兰州大学
bjtuedu 北京交通大学
5053641135 北京工业大学
USTB 北京科技大学
buct 北京化工大学
bupt 北京邮电大学
BJFU 北京林业大学
5503968735 中国传媒大学
ccomeducn 中央音乐学院
UIBE 对外经济贸易大学
bfsu 北京外国语大学
dizhidaxue 中国地质大学
2100473654 中国矿业大学
CUPBJ 中国石油大学北京
cupl 中国政法大学
CUFE 中央财经大学
ncepuedu 华北电力大学
7097660264 北京体育大学
viptmu 天津医科大学
hebut19030319 河北工业大学
shisu1949 上海外国语大学
3243026514 上海大学
dhu123 东华大学
SUFE 上海财经大学
ECUST 华东理工大学
xinandaxue 西南大学
2241179805 太原理工大学微博协会
imu1957 内蒙古大学
liaoninguniversity 辽宁大学
DLMU 大连海事大学
dongshiwb 东北师范大学
yanbiandaxue 延边大学
HRBEU 哈尔滨工程大学
5642624713 东北农业大学
nefuwb 东北林业大学
sdxcb 苏州大学
njnusun 南京师范大学
cpu2015 中国药科大学
hohai 河海大学
inust 南京理工大学
vjiangnan 江南大学
njauxcb 南京农业大学
nuaanews 南京航空航天大学
ahu 安徽大学
hfut1945 合肥工业大学
fzuniversity 福州大学
3019117930 南昌大学
zzugfwb 郑州大学
whut2010 武汉理工大学
zuel 中南财经政法大学
ccnu1903 华中师范大学
hzaunews 华中农业大学
hunnuuni 湖南师范大学
jnunews 暨南大学
5338220864 华南师范大学
guangxidaxueguanfang 广西大学
SWJTU 西南交通大学
swufe1925 西南财经大学
3882879808 四川农业大学
ynunews 云南大学
gzuniversity 贵州大学
northwestuni 西北大学
chdeducn 长安大学
snnu1944 陕西师范大学
xidian 西安电子科技大学
5974895708 海南大学
nxu1958 宁夏大学
qhuvip 青海大学
3835965033 新疆大学
shzu 石河子大学
